Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Doppelsalto C,0609-1-01-846,34.804,22.284,34.268,19.656,-18.278,22.535,-1.229,1.668,-4.225,27.411,2.351,23.887,422.323,276.618,-27.601,23.829,4.232,708.856,-47.084,37.744,708.858,61.45
Schraubensalto C,0609-4-01-135,17.532,23.406,17.493,21.096,-3.012,10.599,-1.028,2.97,6.043,24.75,49.172,108.977,100.682,125.083,216.619,174.318,94.112,192.361,413.118,160.01,287.877,420.54
Salto C,0609-1-01-532,17.0,23.745,16.742,21.736,-1.051,9.489,0.035,1.617,4.631,25.606,10.142,21.888,190.82,184.73,-11.752,15.14,19.475,362.425,-23.01,40.55,391.567,41.18
Salto B,20191008-1207-FRANKFURT_2-01-252,19.65,25.09,19.617,21.814,-3.553,10.959,0.057,2.036,4.091,27.266,21.276,28.328,194.488,220.471,-10.83,23.332,36.975,339.451,-19.752,50.638,399.314,45.593
Schraubensalto C,0609-4-01-180,16.899,23.582,16.726,20.875,-2.301,10.542,-0.676,2.421,5.826,24.767,41.64,105.185,96.97,123.272,207.146,161.786,79.546,182.563,390.424,165.482,279.535,394.299
Von Bauch in Stand,0609-1-01-262,12.28,25.964,12.789,26.141,6.545,18.105,0.347,1.971,6.147,18.29,5.335,13.929,21.446,59.008,4.301,23.927,10.028,37.995,7.436,24.934,68.638,50.28
Salto A,20191008-1207-FRANKFURT_2-01-229,15.671,23.821,15.841,21.273,-3.106,2.685,-0.265,2.702,4.116,26.006,10.531,11.35,209.944,71.265,-19.131,18.327,17.961,357.836,-32.936,25.104,357.938,45.801
Salto B,20191008-1157-FRANKFURT_1-01-319,19.213,23.821,19.313,20.997,-2.723,9.12,-0.77,1.29,4.032,25.883,-6.367,26.075,195.242,184.511,-13.361,31.185,-11.152,331.085,-22.577,42.879,388.562,59.486
41°,20191001-1148-FRANKFURT_1-01-123,19.001,23.584,19.205,21.714,-3.562,8.919,-0.6,2.649,4.848,26.191,-11.151,38.15,-8.136,242.864,111.731,135.473,-19.196,-10.222,176.879,51.524,334.908,210.802
Doppelsalto C,0609-1-01-751,32.046,21.894,31.77,19.823,-14.753,22.226,-0.293,1.364,-3.654,26.015,14.109,29.364,405.372,269.193,-10.235,21.446,24.661,705.004,-17.497,48.28,706.46,47.173
Salto A,20191001-1202-FRANKFURT_2-01-143,17.148,22.833,17.472,20.185,0.711,9.962,-1.059,1.886,3.533,22.742,-11.03,16.867,-223.57,67.499,-13.845,31.765,-18.375,-360.032,-27.634,30.502,364.109,60.014
Von Bauch in Stand,0609-1-01-245,12.654,25.74,13.138,25.97,6.312,17.49,0.142,1.678,6.555,18.778,0.949,10.997,20.874,59.422,4.66,20.011,1.603,36.056,9.203,18.852,72.621,35.786
Von Bauch in Stand,0609-1-01-106,13.024,25.245,13.487,25.329,6.501,17.951,-0.741,2.138,6.515,17.811,1.084,14.321,24.921,52.078,1.936,23.739,2.617,43.4,3.327,22.31,73.534,46.275
Doppelsalto B,0609-1-01-428,29.13,24.266,28.862,21.116,-11.865,18.072,-0.29,1.849,-1.256,28.711,11.88,38.962,374.982,279.484,-14.378,18.7,22.151,707.737,-27.477,67.038,734.811,54.331
Fliffis- Rudi B,0115-JANEIKE-01-139,42.159,17.774,42.559,16.173,-25.105,21.49,3.2,9.012,-0.343,26.918,-115.288,209.04,-215.298,385.118,-326.499,374.056,-192.781,-362.402,-544.371,336.95,610.946,606.237
1/2 ein 1/2 aus C,0115-MORITZ-03-84,31.202,24.839,31.004,21.363,-10.369,17.982,3.53,8.155,-2.979,30.519,-88.033,251.948,9.447,313.58,-109.189,162.78,-172.933,20.666,-214.002,394.728,523.813,311.106
Bauchsprung,0609-1-01-836,12.043,23.341,11.436,20.806,4.737,14.473,-0.004,1.334,7.258,18.953,0.159,14.351,-23.323,68.683,-1.559,24.847,0.233,-39.451,-2.269,22.575,112.572,37.89
Salto C,20191008-1207-FRANKFURT_2-01-343,18.194,24.778,18.201,21.586,-2.731,10.235,2.278,7.158,4.371,25.23,36.935,52.353,203.432,178.093,-36.606,34.827,62.782,347.901,-64.716,82.167,365.203,81.588
Salto C,0115-MORITZ-03-98,16.736,26.756,16.737,24.328,-0.257,12.12,-1.07,1.985,5.064,26.638,5.847,11.597,162.597,170.26,10.338,18.752,12.6,346.274,22.487,25.961,392.132,42.665
Doppelsalto B,0115-CHARI-05-22,29.184,22.197,29.456,21.309,-13.568,18.545,1.143,1.478,-0.647,26.721,-7.648,25.735,362.588,261.119,-8.757,17.544,-14.321,681.87,-16.234,40.007,697.229,34.619
Fliffis B,0609-4-01-388,29.484,25.729,29.812,22.135,-10.789,19.33,-0.107,3.444,0.211,27.264,-45.361,91.989,-113.455,352.648,109.879,122.579,-91.159,-230.933,213.776,142.115,621.381,258.379
Doppelsalto C,0609-1-01-869,33.729,21.078,33.336,18.9,-16.929,21.71,-1.479,2.332,-4.429,26.456,-1.924,21.284,421.412,259.012,-24.256,27.612,-3.018,705.186,-40.811,31.4,705.186,59.982
Voll- ein- voll- aus A,0110-MORITZ-01-114,35.47,20.738,35.58,17.873,-16.743,18.266,0.134,5.332,-5.517,29.703,-132.181,230.132,136.361,274.64,-380.386,279.094,-242.205,251.056,-698.191,364.416,530.488,714.761
Salto A,20191001-1202-FRANKFURT_2-01-186,20.192,27.123,19.424,20.707,0.619,11.456,-0.949,2.979,4.818,24.713,4.8,20.867,-218.009,69.69,-16.526,40.867,7.955,-353.073,-27.229,36.684,360.734,81.928
Schraubensalto C,0609-4-01-205,17.127,22.836,17.024,20.282,-2.613,10.905,-0.728,2.849,5.595,24.005,46.558,105.021,101.581,133.638,209.655,169.14,87.758,188.244,388.635,152.699,287.777,394.432
Cody C,20190930-1153-FRANKFURT_1-01-162,20.827,26.165,21.47,25.451,0.133,23.489,0.141,1.775,-1.76,20.959,29.293,34.433,215.008,214.392,10.572,30.451,56.344,405.481,14.563,64.594,487.645,50.04
Doppelsalto B,0609-1-01-217,30.154,21.28,30.029,18.736,-13.507,18.362,0.45,1.609,-2.138,26.776,19.933,35.233,392.539,272.352,-6.364,33.138,35.535,702.736,-11.545,58.92,720.571,61.577
Salto B,20191007-1150-FRANKFURT_2-01-59,19.663,20.081,19.45,17.238,-3.386,10.249,-0.125,1.357,3.489,24.035,16.937,18.803,214.444,178.627,-8.375,21.604,26.961,344.77,-18.673,34.688,393.159,40.673
Barani C,20190930-1616-FRANKFURT_1-01-50,16.772,23.676,16.873,21.835,-1.264,9.679,0.21,2.304,4.861,25.136,-49.139,26.016,-36.03,195.135,108.842,98.413,-87.637,-64.807,193.432,90.23,311.728,220.113
Salto A,20191001-1202-FRANKFURT_2-01-144,17.515,22.673,17.902,20.607,0.354,9.71,-1.067,1.764,3.153,22.946,-11.875,18.726,-215.834,75.6,-5.201,36.359,-18.884,-349.226,-9.573,37.734,355.062,60.982
Barani A,20191008-1207-FRANKFURT_2-01-75,18.067,23.991,18.499,22.18,-3.172,5.287,0.342,5.325,2.958,25.945,-60.597,48.145,30.428,200.475,127.388,110.019,-100.048,48.645,209.34,111.685,307.738,238.834
Salto B,0827-BK1-01-92,18.097,24.775,17.906,22.731,-0.779,13.675,-0.557,1.712,4.623,25.344,-14.256,23.639,175.993,172.863,17.576,28.318,-28.2,349.924,34.89,42.108,400.415,61.815
Bauchsprung,0609-1-01-141,12.272,24.713,11.722,21.902,5.051,15.961,-0.19,1.039,7.035,19.391,-0.102,21.226,-22.947,74.493,-2.856,22.735,-0.632,-42.295,-5.639,34.356,127.158,41.779
Salto C,0609-1-01-444,17.015,23.675,16.825,21.976,-1.032,10.886,0.069,1.273,4.508,25.227,10.741,15.845,189.911,178.029,-8.808,21.318,20.263,359.704,-16.378,35.899,380.441,37.568
Salto C,20190930-1247-FRANKFURT_2-01-199,21.476,25.505,21.184,21.841,-2.634,10.02,0.078,2.829,4.614,28.246,-6.986,27.924,190.815,207.746,-6.582,43.158,-13.818,345.376,-17.138,42.818,398.522,81.51
Bauchsprung,0609-1-01-151,11.581,24.901,10.835,21.754,4.959,16.065,-0.584,1.444,6.923,19.17,-0.05,12.488,-23.789,61.421,-1.166,19.883,-0.063,-43.85,-2.878,19.506,112.63,33.426
Fliffis C,20191007-1159-FRANKFURT_1-01-364,36.159,25.57,36.423,23.069,-19.516,20.887,-1.333,4.707,-2.073,30.638,11.628,59.083,-211.054,432.96,107.673,176.151,20.243,-348.787,172.627,86.082,698.302,229.454
Bauchsprung,0609-1-01-261,12.328,26.107,11.72,23.1,4.694,16.012,-0.094,1.331,7.505,20.786,-4.172,14.054,-21.797,70.274,-5.431,21.264,-8.512,-41.907,-10.433,27.093,127.489,36.564
Doppelsalto C,0609-1-01-675,34.381,21.344,34.04,18.897,-17.213,21.2,0.319,1.235,-5.379,27.666,25.817,23.884,424.3,264.175,-24.994,22.956,42.706,704.919,-41.9,48.396,704.919,60.624
Salto A,0827-BK1-01-117,15.453,24.534,15.243,22.808,0.996,10.482,-0.408,1.162,5.373,25.03,3.1,11.435,175.528,45.309,3.423,16.306,6.162,349.75,6.662,23.005,349.75,32.152
Doppelsalto B,0609-1-01-423,29.95,23.774,29.569,20.456,-13.129,19.15,-0.448,1.612,0.824,28.131,3.324,39.815,377.261,279.54,-11.178,34.905,6.271,705.922,-20.698,59.967,733.628,72.177
Schraubensalto,20190930-1247-FRANKFURT_2-01-318,15.762,24.201,15.798,21.52,-2.533,6.575,-1.182,2.363,5.463,25.582,62.261,104.904,107.964,145.394,199.235,133.239,113.316,194.943,362.475,175.601,302.672,364.851
Salto C,0609-4-01-266,16.537,25.946,16.259,22.616,1.268,16.593,-0.599,1.123,4.829,23.434,-1.692,13.465,180.634,155.686,-2.82,16.133,-3.558,369.67,-11.244,27.144,389.843,31.625
Doppelsalto B,0609-1-01-589,29.692,23.748,29.482,20.765,-13.1,17.377,-0.186,1.602,-0.83,28.757,10.27,31.638,379.229,282.847,-4.597,27.486,19.443,716.005,-8.638,59.296,751.981,60.588
Barani A,20191003-1152-FRANKFURT_1-01-102,16.672,20.36,17.092,19.173,-0.395,4.789,-0.555,2.638,2.275,24.154,100.844,94.104,-2.776,163.5,-88.914,60.854,163.621,-4.129,-148.076,172.574,235.796,158.063
Fliffis B,20191007-1150-FRANKFURT_2-01-212,34.868,18.77,35.499,17.405,-20.517,18.797,2.993,5.192,-0.562,25.133,-9.411,82.762,-221.424,426.61,122.067,167.927,-15.46,-364.076,194.511,121.174,715.222,224.161
Von Bauch in Stand,0609-1-01-802,12.383,24.304,12.959,24.755,6.402,16.809,0.316,2.196,6.391,17.473,3.259,10.985,21.067,54.113,5.755,20.979,6.04,35.196,9.996,18.099,65.106,35.193
Cody C,20191003-1152-FRANKFURT_1-01-62,23.571,25.13,24.3,24.295,-2.122,23.851,-0.487,2.343,-1.124,21.794,-20.14,18.195,236.254,233.985,3.8,23.71,-32.502,393.876,0.415,41.159,459.562,35.983
Salto C,20190930-1153-FRANKFURT_1-01-185,17.881,24.044,17.9,21.898,-1.59,10.266,-0.215,1.36,4.217,26.081,20.919,34.294,181.733,168.768,-4.787,29.105,40.728,349.128,-15.588,50.479,370.112,53.199
Salto A,20191008-1207-FRANKFURT_2-01-99,17.209,27.97,16.495,22.619,-0.412,7.736,0.431,4.155,5.872,27.999,16.505,19.131,200.809,80.951,-21.426,21.127,28.102,354.664,-35.281,31.903,367.759,61.813
Von Bauch in Stand,0609-1-01-706,12.982,23.865,13.487,24.033,6.133,15.48,0.194,1.726,6.71,18.287,0.611,15.901,22.776,69.562,4.367,20.491,1.199,36.937,7.331,26.677,83.462,41.397
Salto A,20191001-1202-FRANKFURT_2-01-172,16.36,21.35,16.46,18.222,0.973,8.519,-1.027,1.548,2.904,21.951,-19.037,21.152,-214.56,56.554,-8.892,32.463,-30.38,-344.221,-22.754,40.357,346.201,52.547
Salto C,0115-MORITZ-03-74,16.907,26.717,16.986,24.54,-0.336,12.44,-1.278,1.885,5.131,26.505,-2.186,15.042,165.43,170.291,11.739,17.438,-4.452,349.974,25.12,27.071,385.051,41.181
Salto C,20191007-1150-FRANKFURT_2-01-143,17.29,20.236,17.364,18.037,-1.608,11.504,-0.213,1.258,2.466,22.101,31.615,18.433,217.633,163.904,-11.088,30.06,52.173,355.782,-21.471,53.645,372.435,53.826
Fliffis B,0609-4-01-336,31.061,25.259,31.309,22.124,-12.294,20.267,-0.247,2.991,0.958,28.013,-41.026,86.91,-132.919,355.026,122.664,129.153,-80.266,-268.377,236.312,131.675,624.906,264.796
Salto A,20190930-1247-FRANKFURT_2-01-341,15.402,24.686,15.393,21.966,0.958,7.759,-0.248,2.196,4.824,25.8,3.516,11.571,185.824,38.738,-10.01,19.913,5.986,340.397,-23.621,20.846,340.397,38.201
Fliffis Rudi C,20191008-1207-FRANKFURT_2-01-287,41.414,22.511,41.916,19.65,-24.316,20.912,0.751,12.113,-2.766,28.801,37.043,194.07,-139.423,402.679,379.07,375.462,61.469,-232.169,629.027,265.031,621.054,675.119
Doppelsalto B,0115-CHARI-05-102,31.388,23.066,31.309,21.159,-14.234,18.476,0.878,1.719,-1.33,29.011,-5.197,24.581,375.3,262.78,-13.976,29.626,-9.588,693.976,-25.922,41.643,719.101,61.705
Salto C,0827-BK1-01-19,17.349,25.853,17.182,23.846,-0.393,12.432,-0.168,1.983,5.45,25.845,7.828,19.145,175.457,152.484,7.533,19.685,16.107,358.032,15.567,39.039,381.975,38.091
Salto A,0827-BK1-01-121,15.514,24.556,15.14,22.255,1.212,12.609,-0.899,1.525,5.198,24.022,-2.913,11.928,179.338,45.638,-3.506,17.724,-5.498,350.457,-6.86,24.42,350.737,35.962
Salto C,0609-1-01-560,16.722,23.843,16.522,22.123,-0.852,10.069,-0.1,1.076,4.469,25.447,16.799,18.686,189.141,180.22,-5.962,21.442,32.246,361.447,-11.41,42.915,389.111,41.197
Voll- ein- Rudi- aus B,0115-MORITZ-03-12,37.369,22.382,37.776,20.481,-15.844,17.886,0.702,12.817,-0.88,30.252,-281.576,298.138,-67.415,329.002,-383.203,300.354,-563.446,-135.967,-766.8,597.668,590.173,790.654
Salto C,0609-1-01-504,16.892,23.795,16.763,22.173,-0.504,10.347,-0.2,1.313,4.258,25.423,13.697,18.278,187.625,186.241,-10.62,21.628,25.93,358.358,-20.087,41.102,383.333,46.361
Fliffis C,20191007-1150-FRANKFURT_2-01-173,41.61,21.444,41.899,19.73,-23.367,25.63,1.451,4.664,-4.367,28.576,-39.769,59.69,-270.877,391.252,135.813,155.11,-63.953,-431.339,210.935,99.944,663.599,228.415
40°,20191001-1148-FRANKFURT_1-01-164,18.383,24.771,18.287,21.467,-2.9,7.428,-0.849,1.62,5.996,26.437,-0.974,22.668,207.595,238.892,-4.099,29.783,-2.895,349.532,-12.078,38.355,430.341,59.692
Triffis B,0115-JANEIKE-01-88,45.16,22.699,45.446,20.83,-28.506,23.294,7.052,9.691,-1.821,29.897,-110.86,156.347,-380.544,435.627,-101.534,174.482,-216.524,-747.393,-199.173,302.173,1001.265,287.129
Salto B,0827-BK2-01-71,18.511,24.309,18.251,22.544,-1.877,12.135,-0.028,1.551,5.142,26.077,-7.472,19.702,170.198,209.221,-16.221,25.664,-14.817,338.873,-32.138,39.804,418.031,54.597
Bauchsprung,0609-1-01-673,11.665,23.811,10.99,20.961,4.849,14.619,-0.227,0.825,7.179,19.169,-3.11,12.912,-21.201,79.953,-4.425,20.388,-5.607,-36.183,-7.896,21.426,124.48,36.662
Salto A,20191008-1207-FRANKFURT_2-01-341,16.422,23.853,16.202,20.107,-0.539,6.871,0.838,6.87,4.074,24.975,40.302,26.354,209.299,70.943,-53.234,39.137,66.539,345.257,-87.475,69.718,345.257,98.496
Salto A,0827-BK2-02-149,14.578,22.03,14.243,20.723,0.183,7.29,0.553,1.911,4.624,23.552,-0.764,14.423,182.85,41.4,-40.086,17.787,-1.513,318.38,-70.05,22.572,318.523,71.228
Fliffis B,0609-4-01-497,30.916,23.857,31.185,21.225,-13.677,19.16,-0.442,2.918,0.815,28.175,-27.503,84.978,-118.006,361.488,126.991,137.151,-53.613,-234.901,242.321,120.974,624.085,266.146
Voll- ein- halb- aus B,0115-MORITZ-03-118,37.56,19.956,38.112,18.193,-18.47,16.729,2.477,11.965,-4.207,29.02,-217.688,247.596,-117.313,385.504,-275.359,278.321,-382.184,-207.754,-483.358,398.837,622.642,512.84
Salto A,20190930-1247-FRANKFURT_2-01-244,15.636,25.341,15.459,22.11,0.111,5.363,-0.476,1.425,4.935,26.954,3.563,18.358,190.883,42.829,-6.073,17.397,5.757,351.949,-16.875,28.009,351.949,37.912
Doppelsalto B,0110-MORITZ-01-96,29.849,25.058,29.846,22.256,-14.203,23.144,-2.608,2.187,3.723,25.503,-32.865,34.869,359.678,262.936,14.146,35.945,-64.617,707.745,27.3,82.981,727.111,70.823
Salto A,20191001-1202-FRANKFURT_2-01-30,17.781,23.821,17.689,19.923,0.414,9.967,-1.731,2.415,3.297,22.909,-29.3,20.222,-211.205,70.896,-6.149,31.63,-47.841,-346.359,-14.67,54.322,350.776,50.54
Salto C,20190930-1247-FRANKFURT_2-01-175,17.252,24.504,16.991,21.356,-1.964,10.045,0.308,2.534,5.49,25.853,5.812,22.561,189.148,150.173,-9.942,24.958,10.051,341.149,-22.723,33.12,368.204,45.689
43/,20191001-1148-FRANKFURT_1-01-76,22.093,23.365,22.182,20.729,-7.844,11.255,-0.191,4.412,7.111,25.368,91.416,116.0,21.585,239.613,327.032,281.653,149.066,34.042,533.935,189.498,361.362,562.268
Salto C,0827-BK2-02-32,17.557,24.123,17.181,22.211,-2.212,11.87,0.554,1.209,5.348,25.48,7.31,20.1,182.609,193.126,-30.123,23.894,13.63,344.391,-56.696,35.649,368.048,66.367
Barani A,20191007-1534-FRANKFURT_2-01-94,17.173,21.164,17.642,20.137,-2.365,5.745,-0.12,3.472,2.742,24.556,-59.579,76.203,33.198,183.829,115.763,110.307,-96.579,52.011,187.774,105.86,275.052,209.589
Barani A,20191007-1159-FRANKFURT_1-01-366,17.336,24.163,17.496,21.982,-2.24,7.474,-1.028,1.925,4.976,26.341,-34.906,56.123,57.105,191.907,97.817,137.254,-57.631,97.608,159.139,79.802,301.301,211.95
Fliffis C,20190930-1616-FRANKFURT_1-01-165,31.503,23.346,31.826,21.367,-15.473,17.816,1.451,5.119,0.86,28.298,-52.521,63.837,-203.116,368.201,109.923,104.64,-97.826,-380.202,200.372,129.485,656.733,221.549
3/4 Salto rw A,20191001-1202-FRANKFURT_2-01-62,14.062,24.394,13.762,20.775,-4.378,16.603,-1.166,2.796,3.044,18.661,-1.445,16.288,-171.832,72.238,-13.287,39.838,-2.081,-308.401,-29.149,27.365,324.962,53.642
Barani A,20191007-1524-FRANKFURT_1-01-55,16.935,24.761,17.217,22.55,-2.064,5.072,0.012,4.896,3.663,26.177,-69.585,65.459,31.843,191.269,102.22,86.39,-118.388,53.174,169.525,134.828,276.978,213.893
Salto A,0827-BK2-02-139,14.912,22.806,14.36,20.775,0.411,8.559,0.462,1.087,5.363,24.051,9.415,15.912,184.553,51.515,-28.721,21.588,17.422,338.584,-52.9,28.385,338.584,60.122
Fliffis B,0110-MORITZ-01-126,30.047,23.682,30.417,21.885,-11.427,18.912,-0.276,3.474,-1.328,28.462,59.068,98.878,-117.555,367.839,-91.889,107.38,118.094,-236.381,-183.139,152.423,609.995,217.691
Salto C,0115-MORITZ-03-143,17.207,26.958,17.137,24.22,-0.024,12.816,-1.261,2.16,5.029,26.721,4.64,14.731,164.1,174.313,10.719,15.483,9.738,343.475,22.67,29.874,389.199,35.221
Von Bauch in Stand,0609-1-01-696,12.129,23.402,12.576,23.739,7.1,17.635,0.005,1.34,5.709,15.568,1.554,17.808,23.244,65.871,2.612,21.174,2.567,38.351,4.875,26.546,76.236,36.396
Doppelsalto B,0609-1-01-516,28.653,24.445,28.305,21.075,-11.277,18.644,-0.636,1.594,-0.949,28.283,10.873,49.675,365.729,278.779,-14.181,34.312,20.76,703.267,-27.682,75.437,741.082,78.419
Salto A,0827-BK2-01-106,15.371,24.988,15.033,23.101,0.195,8.989,0.594,1.63,5.713,26.058,11.843,10.528,169.608,55.234,-3.386,11.447,23.768,341.904,-7.172,28.498,341.917,26.31
Fliffis- Rudi C,20191007-1524-FRANKFURT_1-01-93,45.518,23.786,45.835,17.683,-28.424,20.379,-1.248,10.073,-0.628,29.955,127.222,219.452,-167.612,453.774,356.088,396.734,199.914,-263.576,560.541,264.014,716.923,649.926
Schraubensalto A,20191007-1150-FRANKFURT_2-01-85,17.411,19.85,17.232,17.187,-3.549,7.802,-0.938,3.606,4.032,22.818,72.547,101.775,129.963,160.276,206.43,182.421,117.424,207.993,329.37,170.356,312.966,341.114
Bauchsprung,0609-1-01-124,12.008,24.941,11.477,22.334,4.713,15.362,-0.365,1.075,7.245,19.843,-1.127,13.351,-20.978,65.284,-4.181,23.625,-2.688,-39.129,-8.403,26.426,123.406,40.76
Barani A,20191007-1534-FRANKFURT_2-01-30,17.685,22.107,17.877,20.578,-1.846,6.415,0.36,5.884,3.157,24.943,-71.484,77.838,40.275,181.466,113.848,96.756,-118.137,66.739,188.307,133.554,261.798,218.821
Salto A,20191008-1157-FRANKFURT_1-01-218,15.795,24.217,15.578,20.767,0.149,5.336,-0.558,0.868,4.968,25.92,-7.488,13.294,204.827,73.461,-6.486,19.171,-12.625,344.178,-11.066,23.131,346.657,28.267
Fliffis B,0110-MORITZ-01-80,30.369,23.995,30.569,21.977,-13.415,19.803,-1.374,3.944,1.492,28.038,15.852,54.908,-149.439,385.493,-91.783,130.309,31.432,-297.205,-180.639,88.445,654.629,217.304
Salto A,20191008-1157-FRANKFURT_1-01-369,15.528,23.43,15.435,20.652,0.246,7.336,-0.122,2.017,4.827,24.866,-9.153,15.757,199.101,61.09,-10.214,20.86,-15.512,332.99,-16.886,27.938,332.99,40.724
Barani A,20191007-1534-FRANKFURT_2-01-50,17.878,22.256,18.044,20.791,-2.115,5.987,0.185,4.372,3.569,25.651,-82.363,71.006,28.96,180.134,109.925,79.633,-136.644,47.856,182.491,139.159,255.404,198.991
1/2 ein 1/2 aus C,0115-MORITZ-03-179,31.482,23.059,31.897,21.744,-13.275,20.158,4.084,9.847,-2.723,26.751,-158.384,200.219,-39.673,354.109,-167.427,172.836,-304.68,-74.536,-322.527,328.21,577.517,363.933
Fliffis B,0609-4-01-37,30.157,25.075,30.348,22.096,-10.826,20.287,-0.47,2.585,0.26,28.196,-60.711,97.258,-113.004,351.66,115.225,111.39,-121.379,-226.183,230.843,157.309,607.782,256.762
Salto B,20190930-1616-FRANKFURT_1-01-12,18.567,23.267,18.65,20.854,-2.818,11.404,-0.488,0.939,4.447,25.178,0.715,10.967,194.766,183.672,7.324,17.949,1.406,355.532,13.325,21.614,404.858,36.881
Barani C,0609-4-01-590,17.603,23.058,17.604,21.037,-2.008,12.786,-0.471,1.518,5.607,23.918,6.48,19.801,-35.661,217.395,129.841,89.303,11.721,-68.503,231.042,32.209,321.72,234.713
Salto C,20191007-1159-FRANKFURT_1-01-36,18.757,23.951,18.961,21.692,-3.871,7.83,-0.254,1.296,5.426,26.595,11.246,35.541,203.58,213.221,-2.107,35.518,18.623,344.117,-3.768,52.507,425.177,61.134
Doppelsalto B,20191007-1524-FRANKFURT_1-01-265,35.501,24.491,35.477,20.407,-16.72,18.68,2.249,4.232,-5.434,31.23,62.279,46.941,405.434,264.984,-18.008,41.843,103.302,678.742,-27.467,120.33,699.276,87.984
Salto C,0609-4-01-285,16.631,25.678,16.327,22.039,1.777,16.884,-0.199,1.443,4.559,22.696,0.187,10.533,179.139,135.939,5.683,12.053,0.15,364.141,5.992,23.598,385.308,28.927
Fliffis Rudi C,20191008-1207-FRANKFURT_2-01-336,41.886,22.548,42.222,19.475,-23.796,20.075,1.008,11.238,-3.677,30.321,19.616,180.567,-161.195,397.061,375.805,341.907,31.902,-268.002,623.013,239.255,615.874,668.579
Doppelsalto C,0609-1-01-793,34.644,22.517,34.327,20.381,-17.079,23.609,-0.011,1.472,-5.952,26.622,13.265,24.219,418.526,286.638,-17.518,29.45,21.698,692.232,-28.997,39.847,694.691,63.606
Rudi,20190930-1247-FRANKFURT_2-01-198,19.154,22.814,19.545,21.212,-5.79,8.132,-0.777,4.242,6.276,25.142,89.152,164.665,-1.825,208.089,297.475,212.369,159.736,-8.356,530.664,232.151,329.614,553.29
Salto C,20190930-1616-FRANKFURT_1-01-216,14.757,24.622,14.904,22.567,-1.158,8.813,-0.076,2.529,5.784,24.952,-8.201,10.865,181.147,77.777,-1.076,21.592,-15.394,351.08,-8.296,24.797,356.194,37.148
Salto C,0609-1-01-572,16.521,23.883,16.308,21.937,-1.225,9.689,-0.006,1.319,4.944,25.5,12.054,16.951,190.98,176.917,-10.023,23.875,22.792,362.544,-19.36,36.55,386.64,50.433
Schraubensalto,20190930-1247-FRANKFURT_2-01-196,15.677,24.088,15.747,21.602,-2.929,5.933,-0.928,2.843,5.308,25.583,55.176,90.559,110.037,149.381,198.867,138.554,101.373,201.775,365.779,137.249,304.139,367.45
Baby- Fliffis C,20191001-1202-FRANKFURT_2-01-97,25.675,26.391,25.813,22.542,10.892,18.128,-1.801,4.091,0.495,23.236,53.976,56.076,60.583,263.827,140.101,94.384,85.485,93.018,216.458,105.851,351.975,240.63
Salto C,0609-4-01-345,16.394,25.82,16.155,22.524,0.985,15.239,-0.425,1.41,4.931,24.131,-6.603,16.031,178.177,134.406,5.656,19.836,-12.494,366.38,4.44,34.966,386.029,40.017
Doppelsalto B,0115-MORITZ-03-147,31.234,25.667,31.032,22.335,-15.416,22.392,-1.186,2.495,2.223,27.688,-3.817,21.499,365.6,269.563,16.79,27.346,-7.532,707.218,32.73,42.501,736.332,59.472
Voll- ein- voll- aus B,0110-MORITZ-01-34,35.122,21.484,35.086,17.948,-17.968,19.536,1.944,9.713,-0.868,27.136,-225.459,229.121,42.629,353.005,-348.724,292.506,-426.403,81.761,-659.899,444.099,599.997,693.134
Fliffis B,0609-4-01-480,30.884,23.542,31.18,20.988,-13.039,19.924,0.201,3.394,0.327,27.245,-50.398,76.339,-98.749,368.811,130.057,128.902,-96.695,-193.962,244.808,126.495,617.06,256.184
Baby- Fliffis C,20191008-1157-FRANKFURT_1-01-282,23.932,25.253,24.462,22.531,-12.189,16.349,-0.359,3.177,-0.546,21.895,-33.197,49.91,-57.591,290.423,113.862,125.538,-53.56,-93.674,183.473,73.931,406.074,212.398
Fliffis- Rudi B,0115-CHARI-05-101,35.033,20.645,35.327,18.797,-19.912,17.669,0.946,6.526,2.653,27.798,89.802,211.212,-169.759,382.988,275.937,320.006,166.221,-315.017,508.922,249.448,670.183,550.019
